pmid,pmcid,indra_evidences,indra_evidences_entity_constraint,indra_statements,indra_statements_entity_constraint
33431741,PMC8053573,17,2,17,2
33431785,PMC7812696,54,12,54,12
33432328,PMC8042733,24,1,24,1
33432790,,7,1,7,1
33432805,PMC8023584,36,7,36,7
33432808,PMC7839419,80,2,80,2
33432820,PMC7955312,95,4,95,4
33432839,PMC7955310,32,1,32,1
33432852,,3,1,3,1
33432940,,3,1,3,1
33433155,,3,1,3,1
33433199,PMC8300487,40,1,40,1
33433203,PMC8313479,51,2,51,2
33433204,,3,2,3,2
33433211,,13,2,13,2
33433237,PMC7887077,9,1,9,1
33433266,,4,1,4,1
33433479,,1,1,1,1
33433487,,2,2,2,2
33433877,PMC8183578,25,1,25,1
33434003,PMC7880527,57,1,57,1
33434018,,3,1,3,1
33434104,PMC7938634,9,2,9,2
33434105,PMC7938641,34,8,34,8
33434109,,2,1,2,1
33434118,,8,1,8,1
33434248,,6,1,6,1
33434255,PMC8849569,53,3,53,3
33434430,PMC7869975,72,12,72,12
33434432,,6,3,6,3
33434434,PMC7941215,8,1,8,1
33434509,,3,1,3,1
33434897,,4,1,4,1
33434932,PMC7924992,44,14,44,14
33435134,PMC7827787,12,3,12,3
33435612,PMC7826913,14,3,14,3
33435684,,2,1,2,1
33435685,,10,2,10,2
33435756,,9,2,9,2
33435759,PMC7989953,127,1,127,1
33435770,PMC7809313,11,3,11,3
33435776,PMC7809311,25,1,25,1
33435779,PMC7809314,10,1,10,1
33435787,,9,2,9,2
33435791,PMC7889174,28,2,28,2
33435800,PMC7808428,94,2,94,2
33435817,PMC7881172,50,1,50,1
33435818,PMC7881177,178,5,178,5
33435858,,11,1,11,1
33436319,PMC8049735,51,7,51,7
33436409,PMC7826414,8,1,8,1
33436426,PMC7845627,65,2,65,2
33436431,PMC7844536,113,3,113,3
33436432,PMC7844537,18,3,18,3
33436433,PMC7844538,66,6,66,6
33436436,PMC7845625,97,2,97,2
33436438,PMC7844541,46,38,46,38
33436440,PMC7844543,57,4,57,4
33436441,PMC7844544,32,1,32,1
33436466,PMC7805358,117,1,117,1
33436477,PMC7805364,4,1,4,1
33436497,PMC7928535,445,63,445,63
33436498,PMC7928716,207,36,207,36
33436499,PMC7936468,78,38,78,38
33436518,PMC7901485,141,2,141,2
33436534,PMC7812697,44,6,44,6
33437040,,2,2,2,2
33437245,PMC7794117,23,1,23,1
33437247,PMC7794153,1,1,1,1
33437249,PMC7794152,20,14,20,14
33437255,PMC7794125,8,3,8,3
33437258,PMC7794129,17,1,17,1
33437278,PMC7794119,2,2,2,2
33437292,PMC7794147,35,3,35,3
33437687,PMC7791278,140,1,140,1
33437689,PMC7791288,5,1,5,1
33437695,PMC7791280,14,1,14,1
33437845,PMC7799369,1,1,1,1
33437969,PMC7786126,13,1,13,1
33437973,,1,1,1,1
33438390,,3,1,3,1
33438398,,2,1,2,1
33438509,PMC8238159,3,1,3,1
33438525,PMC7814568,107,3,107,3
33438847,PMC8357387,1,1,1,1
33439015,,25,4,25,4
33439051,,11,3,11,3
33439057,,24,2,24,2
33439064,PMC7808742,113,4,113,4
33439065,PMC7833758,42,1,42,1
33439092,PMC7833773,44,1,44,1
33439101,,7,1,7,1
33439102,,4,2,4,2
33439105,,14,3,14,3
33439112,,2,2,2,2
33439115,,6,2,6,2
33439167,,1,1,1,1
33439208,,4,1,4,1
33439229,PMC7814360,76,1,76,1
33439620,PMC7901015,62,3,62,3
33439631,,3,2,3,2
33439639,,3,1,3,1
33439640,PMC8173523,9,3,9,3
33439643,,1,1,1,1
33439650,,9,1,9,1
33439731,PMC7810158,54,7,54,7
33439735,PMC7810239,28,15,28,15
33439739,PMC7809302,192,7,192,7
33439743,,8,2,8,2
33439746,PMC7809300,227,43,227,43
33439748,PMC8274743,6,1,6,1
33439774,PMC8163576,19,9,19,9
33439776,,20,11,20,11
33440120,PMC7995334,42,2,42,2
33440138,,4,1,4,1
33440307,,6,2,6,2
33440357,,4,1,4,1
33440683,PMC7826974,44,14,44,14
33440926,PMC7844828,33,1,33,1
33440945,,9,4,9,4
33440995,PMC7808747,38,5,38,5
33441024,PMC7901535,76,3,76,3
33441027,PMC7980774,39,3,39,3
33441029,PMC7955291,2,1,2,1
33441030,PMC8877847,79,1,79,1
33441033,,5,1,5,1
33441222,,15,5,15,5
33441223,,12,3,12,3
33441226,,15,3,15,3
33441227,,1,1,1,1
33441314,PMC7849242,79,1,79,1
33441338,PMC8092705,4,2,4,2
33441339,PMC8092689,50,1,50,1
33441340,PMC8092711,5,1,5,1
33441347,PMC8092707,19,2,19,2
33441348,PMC8092681,169,40,169,40
33441362,PMC7812091,5,1,5,1
33441404,PMC7845605,26,1,26,1
33441406,PMC7845608,82,4,82,4
33441409,PMC7845614,25,2,25,2
33441412,PMC7845613,72,1,72,1
33441483,PMC7826409,133,3,133,3
33441510,PMC8150240,8,1,8,1
33441533,PMC7811978,38,2,38,2
33442487,PMC7792746,41,2,41,2
33442677,PMC7805459,79,1,79,1
33442679,PMC7805436,167,55,167,55
33442680,PMC7805437,218,23,218,23
33442682,PMC7805439,209,24,209,24
33442683,PMC7805440,35,1,35,1
33442684,PMC7805441,64,6,64,6
33442685,PMC7805442,88,10,88,10
33442686,PMC7805443,230,29,230,29
33442688,PMC7805445,19,3,19,3
33442689,PMC7805446,233,17,233,17
33442692,PMC7805449,226,3,226,3
33442698,PMC7805467,104,3,104,3
33442700,PMC7805474,76,8,76,8
33442706,PMC7805468,16,1,16,1
33442967,PMC7927447,27,15,27,15
33442970,PMC7880562,46,1,46,1
33442990,PMC7955292,63,7,63,7
33443153,PMC7817218,7,2,7,2
33443158,PMC7817143,10,5,10,5
33443159,PMC7817155,123,3,123,3
33443182,PMC7817156,21,2,21,2
33443185,PMC7817167,41,1,41,1
33443188,PMC7817117,4,1,4,1
33443207,PMC7817201,6,1,6,1
33443211,PMC7817131,144,8,144,8
33443219,PMC7812753,17,7,17,7
33443220,PMC7817134,82,8,82,8
33443256,,1,1,1,1
33443267,,6,2,6,2
33443336,,1,1,1,1
33443394,PMC7934331,99,1,99,1
33443404,PMC8207233,6,2,6,2
33443428,,3,2,3,2
33443453,PMC7812396,4,2,4,2
33443456,PMC7812392,16,1,16,1
33443462,,2,2,2,2
33443463,,10,1,10,1
33443481,,5,1,5,1
33443506,,6,1,6,1
33443511,,14,3,14,3
33443517,,13,2,13,2
33443524,,3,1,3,1
33443525,,2,1,2,1
33443562,PMC7820880,16,4,16,4
33443863,,1,1,1,1
33443932,,6,2,6,2
33443942,,2,2,2,2
33444023,PMC7923214,21,1,21,1
33444025,PMC8493596,44,1,44,1
33444077,,5,2,5,2
33444083,,9,1,9,1
33444084,PMC7814565,70,16,70,16
33444090,,5,1,5,1
33444399,PMC7808580,35,1,35,1
33444401,PMC7808613,45,2,45,2
33444414,PMC7808606,13,5,13,5
33444507,,24,6,24,6
33444514,PMC8008804,29,3,29,3
33444517,,2,1,2,1
33445186,,9,2,9,2
33445790,PMC7828214,165,9,165,9
33445915,,6,6,6,6
33445988,PMC7812414,35,26,35,26
33445991,PMC7812408,2,1,2,1
33445995,PMC7812405,17,1,17,1
33445997,PMC7822065,17,1,17,1
33446010,PMC8032224,5,1,5,1
33446037,PMC7928027,12,3,12,3
33446046,PMC7834047,31,1,31,1
33446064,PMC7894429,5,1,5,1
33446077,PMC7814567,35,1,35,1
33446081,PMC7833046,10,2,10,2
33446085,,1,1,1,1
33446089,PMC7944434,28,2,28,2
33446502,PMC7826330,3,1,3,1
33446589,PMC7849702,1,1,1,1
33447732,PMC7784708,22,12,22,12
33447829,PMC7806186,78,2,78,2
33447836,PMC8174646,41,11,41,11
33448183,PMC7818012,176,37,176,37
33448210,PMC8171598,3,2,3,2
33448228,,2,1,2,1
33448230,PMC7962176,32,9,32,9
33448348,PMC8078545,9,1,9,1
33448783,PMC7880529,93,4,93,4
33448787,,9,4,9,4
33448797,,10,1,10,1
33448799,,1,1,1,1
33448801,,8,2,8,2
33448861,,4,1,4,1
33448865,PMC7845465,33,3,33,3
33448869,PMC7845471,24,6,24,6
33448894,PMC8120693,12,1,12,1
33448923,PMC8346734,2,1,2,1
33449517,,4,1,4,1
33449614,PMC8053227,20,12,20,12
33449627,,5,1,5,1
33449685,PMC7877722,9,2,9,2
33449689,PMC7956155,84,14,84,14
33449691,,4,1,4,1
33449701,PMC7880576,13,1,13,1
33449811,PMC7810290,143,3,143,3
33449819,,1,1,1,1
33449821,,5,3,5,3
33449843,,1,1,1,1
33449844,PMC8456538,19,4,19,4
33449847,PMC7988758,6,2,6,2
33449852,,8,2,8,2
33449853,,7,2,7,2
33449978,PMC8011936,41,2,41,2
33449987,,12,2,12,2
33450772,,5,4,5,4
33450934,PMC7828435,11,3,11,3
33451126,PMC7828629,57,11,57,11
33452132,PMC7826362,3,1,3,1
33452134,PMC7826335,18,5,18,5
33452205,PMC7865145,129,1,129,1
33452464,,4,3,4,3
33452844,PMC8248411,25,1,25,1
33452852,PMC8248439,21,1,21,1
33452969,PMC8510969,2,2,2,2
33453284,PMC7948483,12,3,12,3
33453714,PMC8820509,7,4,7,4
33453720,PMC8820516,12,2,12,2
33453934,PMC8533030,45,2,45,2
33453936,PMC8163103,9,2,9,2
33453943,,9,1,9,1
33454246,,4,3,4,3
33454747,PMC8041042,16,1,16,1
33454844,PMC7897189,5,2,5,2
33454945,,3,2,3,2
33455023,PMC8048982,148,116,148,116
33455110,,5,1,5,1
33455111,,13,1,13,1
33455125,,3,3,3,3
33455165,PMC8023574,39,1,39,1
33455418,PMC7983337,31,2,31,2
33455425,,3,1,3,1
33455449,,7,2,7,2
33455459,,2,1,2,1
33455470,,4,1,4,1
33455472,PMC7822064,6,1,6,1
33455485,,5,1,5,1
33455497,,6,5,6,5
33455503,,12,7,12,7
33455522,PMC8097310,69,1,69,1
33455532,PMC7833771,22,2,22,2
33455535,,4,1,4,1
33455539,,6,5,6,5
33455565,,1,1,1,1
33455862,PMC7833986,182,27,182,27
33455878,PMC8049447,25,4,25,4
33455927,PMC7813413,55,1,55,1
33455940,PMC7813385,147,1,147,1
33455958,PMC7972876,22,3,22,3
33455959,PMC8025431,5,4,5,4
33455972,PMC8075731,9,1,9,1
33455985,,8,1,8,1
33455994,PMC8737070,8,1,8,1
33455998,PMC7905302,8,1,8,1
33456004,,22,6,22,6
33456007,,6,1,6,1
33456025,PMC7872817,14,2,14,2
33456089,PMC7808253,12,1,12,1
33456090,PMC7729833,95,9,95,9
33456439,PMC7786444,17,2,17,2
33456590,PMC7803323,7,1,7,1
33456602,PMC7803302,7,1,7,1
33456605,PMC7803309,9,1,9,1
33456609,PMC7803314,2,1,2,1
33456610,PMC7803317,6,2,6,2
33456611,PMC7803315,2,1,2,1
33456714,PMC7800775,10,4,10,4
33456975,PMC7800606,25,5,25,5
33456976,PMC7800604,79,4,79,4
33456977,PMC7800601,8,7,8,7
33456978,PMC7800603,71,17,71,17
33456979,PMC7800605,19,12,19,12
33456982,PMC7800596,60,5,60,5
33457145,PMC7797417,12,2,12,2
33458693,PMC7116590,84,7,84,7
33458694,PMC7810363,56,7,56,7
33458705,PMC7797917,49,1,49,1
33458725,PMC8018613,105,1,105,1
33458731,,9,2,9,2
33458779,PMC7811893,24,3,24,3
33459014,,2,1,2,1
33459036,PMC7816523,6,6,6,6
33459077,PMC7876670,63,4,63,4
33459084,,1,1,1,1
33459093,,3,1,3,1
33459097,,2,1,2,1
33459101,,2,1,2,1
33459104,,1,1,1,1
33459109,,1,1,1,1
33459112,PMC7889136,9,3,9,3
33459113,PMC7889124,19,1,19,1
33459118,PMC7833761,183,8,183,8
33459122,PMC7833042,30,7,30,7
33459124,PMC7833080,33,1,33,1
33459127,PMC7832987,101,8,101,8
33459128,,7,2,7,2
33459130,,5,4,5,4
33459133,PMC8632308,15,8,15,8
33459147,PMC7833764,64,9,64,9
33459152,,9,2,9,2
33459164,PMC8086697,24,3,24,3
33459166,,3,2,3,2
33459173,,10,4,10,4
33459176,,7,6,7,6
33459178,PMC7988779,10,2,10,2
33459180,,6,3,6,3
33459181,,2,2,2,2
